ID	PROVINCIA	CRIME99	CLEAR99	YMA99	URB99	FORE99	GDP99	GRO99	YUN99	EDU99	COAST	XCOOR	YCOOR
1	ÁLAVA	21.715630026	1.686249432	-0.959217192	-0.254382802	0.211366259	1.142163684	0.011307253	-0.940820384	-0.726225280	0	523141.5597900	4741687.0716000
2	ALBACETE	25.192171185	1.621587212	-0.731012730	-0.189863495	-0.318833594	0.958225967	0.011711784	-0.920734545	-0.822395980	0	588577.2087300	4298073.0577000
3	ALICANTE	63.995020714	1.400863718	-0.708575645	-0.083259775	0.572722012	1.011942838	0.017338291	-0.921621565	-0.824235743	1	712076.5339000	4261884.4275000
4	ALMERÍA	55.551875561	1.470025424	-0.468138051	-0.174998062	0.555726800	1.011899740	0.026088676	-0.877613191	-0.840012551	1	558160.6087700	4116967.7659000
5	ÁVILA	24.990613116	1.622581618	-0.622147581	-0.542430696	-0.302564721	1.030090250	0.013758086	-0.996751109	-0.780262790	0	335367.8119500	4493109.6505000
6	BADAJOZ	30.678199213	1.573930036	-0.514527016	-0.313245076	-0.264464812	0.883978269	0.014686308	-0.936289453	-0.854923920	0	226755.3172300	4289474.0399000
7	BALEARS (ILLES)	58.051019996	1.486952877	-0.868461530	-0.104088623	0.688471080	1.169193741	0.011031703	-0.917642890	-0.923144828	1	1011641.0704000	4402056.8541000
8	BARCELONA	52.129305644	1.369334623	-0.762079434	-0.057829626	0.436853628	1.158249983	0.016647790	-0.920493155	-0.756365764	1	914627.1798400	4632083.4253000
9	BURGOS	32.792055608	1.626592041	-0.622147581	-0.182583585	-0.028508450	1.117750082	0.008678150	-0.967438410	-0.793188691	0	450343.1019200	4690041.3210000
10	CÁCERES	24.910073477	1.595761017	-0.514527016	-0.459919408	0.187973110	1.015889724	0.030996396	-0.955208516	-0.858660304	0	229139.8580200	4400729.7114000
11	CÁDIZ	41.807940223	1.562812042	-0.468138051	-0.040098507	-0.038480524	0.944963387	0.019834999	-0.871843959	-0.806273375	1	252678.1580600	4048619.7603000
12	CASTELLÓN DE LA PLANA	42.734958221	1.415851072	-0.708575645	-0.143551952	0.272152237	1.134272757	0.010132220	-0.929283833	-0.862424999	1	742564.8212600	4458345.2007000
13	CIUDAD REAL	21.816733759	1.623225300	-0.731012730	-0.234456984	-0.417240165	0.979751453	0.004488730	-0.944579159	-0.893813184	0	429363.4774100	4308393.1879000
14	CÓRDOBA	27.379848291	1.631506778	-0.468138051	-0.150470276	-0.363797046	0.934219100	0.018204787	-0.925413416	-0.890209588	0	341381.5182900	4206641.5512000
15	CORUÑA (A)	31.898190339	1.583679860	-0.647576274	-0.154341152	-0.233868420	1.005135021	0.012255961	-0.939494954	-0.827360004	1	55435.4213730	4789459.8177000
16	CUENCA	22.010228541	1.672579288	-0.731012730	-0.551567635	-0.187531589	0.954803834	-0.011152592	-0.990063620	-0.935023040	0	568896.3784100	4416664.0764000
17	GIRONA	41.356748478	1.404763779	-0.762079434	-0.212304596	0.392817528	1.192242089	0.019327409	-0.937511408	-0.839247948	1	969310.1374500	4679713.7174000
18	GRANADA	53.463826177	1.423502114	-0.468138051	-0.219705520	0.049479684	0.916856261	0.019092040	-0.907317349	-0.756107852	1	476122.4937900	4129758.1608000
19	GUADALAJARA	33.992546466	1.648940212	-0.731012730	-0.261433234	0.247685850	1.126807172	-0.000863344	-0.965482597	-0.651563505	0	531866.0882600	4518362.7641000
